address,square_feet,land_area,year_built,property_class,use_type,market_value
4031 S RACINE CHICAGO,83308.0,96329.0,1966,5-93,Industrial-Storage Warehouses,5131000.0
2000 W 43RD CHICAGO,3000.0,122588.0,1966,"5-80, 5-93",Industrial-Storage Warehouses,1395000.0
7601 S STEWART CHICAGO,57080.0,44677.0,1966,"5-80, 5-93",Industrial-Utility NonEnergy Production,1978000.0
1232 W 105TH CHICAGO,3192.0,39277.0,1966,5-93,Industrial-Utility NonEnergy Production,396000.0
4402 W 44TH CHICAGO,103998.0,217286.0,1965,"5-80, 5-80, 5-80, 5-93, 5-80, 5-80, 5-93, 5-93, 5-80",Industrial-Light Manufacturing,4865000.0
4485 S TRIPP CHICAGO,74600.0,91704.0,1965,"5-93, 5-80, 5-93, 5-93, 5-93, 5-80, 5-93",Industrial-Distribution Warehouse  Single Story,3877000.0
6855 W 60TH CHICAGO,11250.0,18244.0,1965,"5-93, 5-93",Industrial-Light Manufacturing,643000.0
6201 S HARLEM CHICAGO,73962.0,120608.0,1965,"5-93, 5-93, 5-93",Industrial-Storage Warehouses,3844000.0
4301 S KNOX CHICAGO,22104.0,57496.0,1965,"5-93, 5-93, 5-80",Industrial-Storage Warehouses,1149000.0
4458 S HAMLIN CHICAGO,39900.0,82873.0,1965,5-93,Industrial-Light Manufacturing,2074000.0
4240 W 40TH CHICAGO,30864.0,57064.0,1965,5-93,Industrial-Storage Warehouses,1604000.0
4400 S KOLMAR CHICAGO,90358.0,295128.0,1965,"5-93, 5-80, 5-80",Industrial-Storage Warehouses,4696000.0
4411 S TRIPP CHICAGO,29920.0,59549.0,1965,"5-80, 5-93, 5-80, 5-80",Industrial-Storage Warehouses,1555000.0
4325 W 44TH CHICAGO,26282.0,34696.0,1965,5-93,Industrial-Light Manufacturing,1366000.0
4817 S KNOX CHICAGO,7000.0,11478.0,1965,5-93,Industrial-Storage Warehouses,400000.0
5210 S ARCHER CHICAGO,1963.0,2650.0,1965,5-93,Industrial-Storage Warehouses,82000.0
5017 S HOMAN CHICAGO,1875.0,3150.0,1965,5-93,Industrial-Storage Warehouses,78000.0
1015 W PERSHING CHICAGO,38223.0,219821.0,1965,5-93,Industrial-Truck Parking,3788000.0
8357 S HALSTED CHICAGO,25835.0,18909.0,1965,5-93,Industrial-Light Manufacturing,895000.0
10530 S STEWART CHICAGO,31354.0,57864.0,1962,"5-93, 5-93, 5-93, 5-93, 5-80",Industrial-Storage Warehouses,1085000.0
1100 W 119TH CHICAGO,163999.0,506644.0,1951,5-93,Industrial-Storage Warehouses,5109000.0
5019 S HOMAN CHICAGO,8100.0,15750.0,1962,"5-93, 5-93, 5-93, 5-93, 5-93",Industrial-Light Manufacturing,309000.0
2253 W 47TH CHICAGO,6710.0,15625.0,1962,"5-93, 5-93, 5-93, 5-80",Industrial-Light Manufacturing,469000.0
4030 S KILDARE CHICAGO,13700.0,114396.0,1962,"5-93, 5-80, 5-93, 5-80",Industrial-Storage Warehouses,1653000.0
4601 S KNOX CHICAGO,13407.0,31934.0,1962,"5-93, 5-93",Industrial-Light Manufacturing,767000.0
3600 W 52ND CHICAGO,66835.0,84368.0,1962,"5-93, 5-93",Industrial-Light Manufacturing,2316000.0
170 S STATE CHICAGO,36260.0,263843.0,1962,"5-93, 5-93",Industrial-Storage Warehouses,2787000.0
7831 S CLAREMONT CHICAGO,9738.0,22050.0,1962,"5-93, 5-93, 5-93, 5-93, 5-93",Industrial-Light Manufacturing,371000.0
7100 W 60TH CHICAGO,120734.0,209776.0,1962,"5-93, 5-80, 5-80, 5-80, 5-93",Industrial-Heavy (Process) Manufacturing,5648000.0
4532 S KOLIN CHICAGO,235280.0,564950.0,1962,"5-17, 5-80, 5-93, 5-80, 5-80",Industrial-Light Manufacturing,12320000
8400 S STEWART CHICAGO,127815.0,358089.0,1980,5-93,Industrial-Storage Warehouses,3986000.0
3950 S KARLOV CHICAGO,68969.0,84942.0,1962,5-93,Industrial-Storage Warehouses,3585000.0
4440 S TRIPP CHICAGO,17454.0,33411.0,1962,5-93,Industrial-Cold Storage Facility,998000.0
535 W ROOT CHICAGO,1600.0,3150.0,1962,5-93,Industrial-Storage Warehouses,122000.0
1107 W 48TH CHICAGO,9000.0,39788.0,1962,5-93,Industrial-Storage Warehouses,847000.0
7721 S ASHLAND CHICAGO,18300.0,50284.0,1962,5-93,Industrial-Storage Warehouses,698000.0
8531 S VINCENNES CHICAGO,6412.0,21194.0,1962,5-93,Industrial-Storage Warehouses,244000.0
11600 S HALSTED CHICAGO,22070.0,24300.0,1962,5-93,Industrial-Storage Warehouses,702000.0
4801 S CALIFORNIA CHICAGO,184100.0,543367.0,1961,5-93,Industrial-Storage Warehouses,5741000.0
3860 W 45TH CHICAGO,86194.0,112058.0,1961,"5-93, 5-93, 5-93, 5-93, 5-93, 5-93, 5-93, 5-93, 5-93, 5-93, 5-93, 5-93, 5-93, 5-93",Industrial-Storage Warehouses,4480000.0
12224 S HALSTED CHICAGO,17370.0,18900.0,1961,"5-93, 5-93, 5-93, 5-93, 5-93, 5-93, 5-93",Industrial-Storage Warehouses,661000.0
6201 S OAK PARK CHICAGO,9075.0,16906.0,1961,"5-93, 5-93, 5-93, 5-80, 5-80",Industrial-Storage Warehouses,519000.0
4573 S ARCHER CHICAGO,10282.0,11406.0,1961,"5-93, 5-93",Industrial-Light Manufacturing,553000.0
7646 S KEDZIE CHICAGO,32900.0,35591.0,1961,"5-93, 5-93",Industrial-Storage Warehouses,1140000.0
7711 S CLAREMONT CHICAGO,22268.0,50286.0,1961,5-93,Industrial-Light Manufacturing,772000.0
4120 S HALSTED CHICAGO,96720.0,258068.0,1961,"5-17, 5-80, 5-80, 5-93",Industrial-Heavy (Process) Manufacturing,5957000.0
